iter	simplex_id	ef_attempted	ef_ok	solver_status	termination_condition	ef_time_sec	K_ef	ef_obj	true_obj	ub_updated	UB_incumbent	ms_issue_count	ms_issue_scenarios	ms_issue_reasons	ms_issue_details	dual_bound_fail_count	dual_bound_fail_details	ms_cached_count	ms_cached_scenarios	cs_cached_count	cs_cached_scenarios	lb_simp_LB_sur	lb_simp_LB_linear	lb_simp_c_total_finite	lb_simp_c_total_all	lb_simp_ms_total	lb_simp_min_fverts_sum	lb_simp_lb_case	LB_global_end_sum	UB_global_end_sum	ms_lb_gt_primal_count	cs_lb_gt_primal_count
33	(19, 20, 33, 35)	True	True	ok	optimal	0.260	(-9.90328072535642, -99.99629322713609, 0.8161692393501766)	0.9841829793455615	4.920915134770899	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920031	4.812970	4.920031	4.920031	-0.116763	4.929733	all_ms_finite	4.920030	4.920839	0	0
34	(19, 20, 35, 41)	True	True	ok	optimal	0.154	(-9.903280719663165, -99.99629322697359, 0.8161692392682051)	0.9841829793464999	4.920915134764766	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920030	4.825677	4.920030	4.920030	-0.104056	4.929733	all_ms_finite	4.920036	4.920839	0	0
35	(17, 18, 19, 20)	True	True	ok	optimal	0.268	(-9.903281397186205, -99.99629185352555, 0.8161692428565193)	0.9841829793521707	4.9209151347875295	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920036	4.231631	4.920036	4.920036	-0.698102	4.929733	all_ms_finite	4.920030	4.920839	0	0
36	(17, 19, 20, 43)	True	True	ok	optimal	0.261	(-9.903281397277418, -99.99629185353693, 0.8161692427077947)	0.9841829793521543	4.920915134802801	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920030	4.268372	4.920030	4.920030	-0.661361	4.929733	all_ms_finite	4.920030	4.920839	0	0
37	(19, 20, 43, 44)	True	True	ok	optimal	0.131	(-9.903281391699862, -99.99629185333234, 0.8161692426497856)	0.9841829793530774	4.920915134809634	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920030	4.804052	4.920030	4.920030	-0.125681	4.929733	all_ms_finite	4.920031	4.920839	0	0
38	(19, 20, 44, 45)	True	True	ok	optimal	0.260	(-9.903281385911454, -99.99629185261651, 0.8161692428947128)	0.9841829793540748	4.920915134809263	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920031	4.811700	4.920031	4.920031	-0.118033	4.929733	all_ms_finite	4.920033	4.920839	0	0
39	(19, 20, 45, 46)	True	True	ok	optimal	0.259	(-9.903281366135095, -99.99629185050418, 0.8161692438787345)	0.9841829793574698	4.920915134820365	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920033	4.825677	4.920033	4.920033	-0.104056	4.929733	all_ms_finite	4.920079	4.920839	0	0
40	(0, 4, 16, 17)	True	True	ok	optimal	0.253	(-9.932893701241456, -99.99996754367247, 0.8140350327523234)	0.9841778595473253	4.920889398364372	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920079	-0.732997	4.920079	4.920079	-6.475454	5.742457	all_ms_finite	4.920080	4.920839	0	0
41	(19, 43, 44, 45)	True	True	ok	optimal	0.261	(-9.848413558319981, -99.9894863662076, 0.8201632113195995)	0.9841925078573596	4.920962804509804	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920085	4.892397	4.920085	4.920085	-0.037336	4.929733	all_ms_finite	4.920080	4.920839	0	0
42	(19, 44, 45, 49)	True	True	ok	optimal	0.262	(-9.848413558025717, -99.98948636617126, 0.820163211175471)	0.984192507857409	4.920962804484266	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920085	4.889048	4.920085	4.920085	-0.033701	4.922749	all_ms_finite	4.920080	4.920839	0	0
43	(19, 45, 49, 50)	True	True	ok	optimal	0.264	(-9.848413552702025, -99.98948636596886, 0.8201632111126305)	0.9841925078582929	4.92096280449074	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920084	4.896935	4.920084	4.920084	-0.025815	4.922749	all_ms_finite	4.920080	4.920839	0	0
44	(19, 49, 50, 51)	True	True	ok	optimal	0.254	(-9.848413664204687, -99.98948637994813, 0.820165087741475)	0.9841925078581766	4.9209628044877185	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920083	4.915784	4.920083	4.920083	-0.006966	4.922749	all_ms_finite	4.920080	4.920839	0	0
45	(19, 45, 46, 47)	True	True	ok	optimal	0.270	(-9.886786764418037, -99.99417886723899, 0.0015835386086949263)	0.9846992776171182	4.923496477058594	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920085	4.899370	4.920085	4.920085	-0.030363	4.929733	all_ms_finite	4.920031	4.920839	0	0
46	(19, 45, 46, 53)	True	True	ok	optimal	0.258	(-9.886783030474362, -99.99417745913837, 0.00039325328294607275)	0.9847007520135623	4.9235038634484525	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920031	4.901530	4.920031	4.920031	-0.027068	4.928597	all_ms_finite	4.920031	4.920839	0	0
47	(19, 45, 53, 54)	True	True	ok	optimal	0.265	(-9.886779435876752, -99.99417699909868, 0.00021573422411471315)	0.9847009726346276	4.9235050380875895	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920031	4.901197	4.920031	4.920031	-0.025815	4.927011	all_ms_finite	4.920080	4.920839	0	0
48	(19, 35, 41, 42)	True	True	ok	optimal	0.259	(-9.886758435246529, -99.99417655091706, 9.501580686495107e-05)	0.9847011259555329	4.923505636436818	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920087	4.899370	4.920087	4.920087	-0.030363	4.929733	all_ms_finite	4.920075	4.920839	0	0
