# debug_timelimit.txt — subproblems that hit Gurobi TimeLimit
# Format: [Iter N] [MS/CS TimeLimit] simplex_idx=..., verts=..., scenario=..., dual_bound=..., primal_obj=..., dual<primal=...

[Iter 0] [CS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=6, dual_bound=1.011671971258397, primal_obj=1.0116719712583973, dual<primal=True
[Iter 0] [MS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=8, dual_bound=-1.1822267254340497, primal_obj=-1.1822267254340495, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=8, dual_bound=1.0114775399065636, primal_obj=1.0114775399065636, dual<primal=False
[Iter 0] [MS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=9, dual_bound=-1.3833194554987354, primal_obj=-1.3833194554987351, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=9, dual_bound=0.9570930586284426, primal_obj=0.9570930586284426, dual<primal=False
[Iter 0] [MS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=10, dual_bound=-1.4121532524580782, primal_obj=-1.412153252458078, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=10, dual_bound=0.9645145363708663, primal_obj=0.9645145363708664, dual<primal=True
[Iter 0] [MS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=11, dual_bound=-1.1822453386268088, primal_obj=-1.1822453386268088, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=11, dual_bound=1.0356751510426336, primal_obj=1.0356751510426339, dual<primal=True
[Iter 0] [MS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=12, dual_bound=-1.4570881807206457, primal_obj=-1.4570881807206455, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=12, dual_bound=0.951794678334019, primal_obj=0.9517946783340188, dual<primal=False
[Iter 0] [MS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=13, dual_bound=-1.3090484560397, primal_obj=-1.3090484560397004, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=13, dual_bound=0.9744556873946929, primal_obj=0.9744556873946928, dual<primal=False
[Iter 0] [MS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=14, dual_bound=-1.2351477279560361, primal_obj=-1.2351477279560357, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=14, dual_bound=1.0054114594531551, primal_obj=1.0054114594531551, dual<primal=False
[Iter 0] [MS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=15, dual_bound=-1.0535734305390283, primal_obj=-1.0535734305390285, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=15, dual_bound=1.0735371678579673, primal_obj=1.073537167857968, dual<primal=True
[Iter 0] [MS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=16, dual_bound=-1.403084938409314, primal_obj=-1.4030849384093145, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=16, dual_bound=0.9546467101603459, primal_obj=0.9546467101603457, dual<primal=False
[Iter 0] [MS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=17, dual_bound=-1.4207997234541316, primal_obj=-1.4207997234541316, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=17, dual_bound=0.9537152936099393, primal_obj=0.9537152936099393, dual<primal=False
[Iter 0] [MS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=19, dual_bound=-1.4336253851789054, primal_obj=-1.4336253851789056, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=6, verts=(0, 3, 4, 8), scenario=19, dual_bound=0.9481765585046132, primal_obj=0.9481765585046131, dual<primal=False
