# debug_cs_timing.txt — NON-OPTIMAL c_s (Q-value) solves only
# Format: [Iter N] scenario=..., simplex_idx=..., verts=..., time=...s, status=..., dual_bound=..., primal_obj=...

[Iter 0] scenario=6, simplex_idx=7, verts=(0, 1, 3, 8), time=4.1681s, status=time_limit, dual_bound=1.01304034538819, primal_obj=1.0130403453881902
[Iter 0] scenario=8, simplex_idx=7, verts=(0, 1, 3, 8), time=3.0871s, status=time_limit, dual_bound=1.0466687746451917, primal_obj=1.0466687746451921
[Iter 0] scenario=9, simplex_idx=7, verts=(0, 1, 3, 8), time=3.8386s, status=time_limit, dual_bound=0.9569143918879786, primal_obj=0.9569143918879784
[Iter 0] scenario=10, simplex_idx=7, verts=(0, 1, 3, 8), time=3.0869s, status=time_limit, dual_bound=0.9643371487044905, primal_obj=0.9643371487044905
[Iter 0] scenario=11, simplex_idx=7, verts=(0, 1, 3, 8), time=3.0413s, status=time_limit, dual_bound=1.0346400472441142, primal_obj=1.0346400472441142
[Iter 0] scenario=12, simplex_idx=7, verts=(0, 1, 3, 8), time=3.3220s, status=time_limit, dual_bound=0.9517300838063916, primal_obj=0.9517300838063915
[Iter 0] scenario=13, simplex_idx=7, verts=(0, 1, 3, 8), time=3.5494s, status=time_limit, dual_bound=0.9741649873197425, primal_obj=0.9741649873197429
[Iter 0] scenario=14, simplex_idx=7, verts=(0, 1, 3, 8), time=3.0096s, status=time_limit, dual_bound=0.9988681131253051, primal_obj=0.998868113125305
[Iter 0] scenario=15, simplex_idx=7, verts=(0, 1, 3, 8), time=3.0116s, status=time_limit, dual_bound=1.071032986323835, primal_obj=1.0710329863238346
[Iter 0] scenario=16, simplex_idx=7, verts=(0, 1, 3, 8), time=3.0092s, status=time_limit, dual_bound=0.9545159261569862, primal_obj=0.9545159261569859
[Iter 0] scenario=17, simplex_idx=7, verts=(0, 1, 3, 8), time=3.2984s, status=time_limit, dual_bound=0.9535729621136931, primal_obj=0.9535729621136931
[Iter 0] scenario=19, simplex_idx=7, verts=(0, 1, 3, 8), time=3.0207s, status=time_limit, dual_bound=0.9480961285501311, primal_obj=0.948096128550131
[Iter 0] scenario=0, simplex_idx=8, verts=(1, 3, 4, 8), time=3.0153s, status=time_limit, dual_bound=0.9963496101484043, primal_obj=0.9963496101484043
[Iter 0] scenario=1, simplex_idx=8, verts=(1, 3, 4, 8), time=3.1780s, status=time_limit, dual_bound=0.9451524351349165, primal_obj=0.9451524351349168
[Iter 0] scenario=2, simplex_idx=8, verts=(1, 3, 4, 8), time=3.0095s, status=time_limit, dual_bound=0.9559813041365324, primal_obj=0.9559813041365325
[Iter 0] scenario=3, simplex_idx=8, verts=(1, 3, 4, 8), time=3.1195s, status=time_limit, dual_bound=1.0551989613974155, primal_obj=1.0551989613974153
[Iter 0] scenario=4, simplex_idx=8, verts=(1, 3, 4, 8), time=3.0690s, status=time_limit, dual_bound=0.9685219388730336, primal_obj=0.9685219388730335
[Iter 0] scenario=5, simplex_idx=8, verts=(1, 3, 4, 8), time=3.0486s, status=time_limit, dual_bound=0.9430673495203113, primal_obj=0.9430673495203116
[Iter 0] scenario=6, simplex_idx=8, verts=(1, 3, 4, 8), time=3.0382s, status=time_limit, dual_bound=1.0140253913266044, primal_obj=1.0140253913266046
[Iter 0] scenario=8, simplex_idx=8, verts=(1, 3, 4, 8), time=3.1669s, status=time_limit, dual_bound=1.0113942757451981, primal_obj=1.011394275745198
[Iter 0] scenario=9, simplex_idx=8, verts=(1, 3, 4, 8), time=3.0708s, status=time_limit, dual_bound=0.9570208551646008, primal_obj=0.9570208551646007
[Iter 0] scenario=10, simplex_idx=8, verts=(1, 3, 4, 8), time=3.1620s, status=time_limit, dual_bound=0.9645157645840148, primal_obj=0.9645157645840148
[Iter 0] scenario=11, simplex_idx=8, verts=(1, 3, 4, 8), time=3.2033s, status=time_limit, dual_bound=1.0349940595446145, primal_obj=1.034994059544614
[Iter 0] scenario=12, simplex_idx=8, verts=(1, 3, 4, 8), time=3.0370s, status=time_limit, dual_bound=0.9517810549669387, primal_obj=0.9517810549669387
[Iter 0] scenario=13, simplex_idx=8, verts=(1, 3, 4, 8), time=3.2080s, status=time_limit, dual_bound=0.9745310114817787, primal_obj=0.9745310114817788
[Iter 0] scenario=14, simplex_idx=8, verts=(1, 3, 4, 8), time=3.1282s, status=time_limit, dual_bound=0.9931221401832828, primal_obj=0.9931221401832833
[Iter 0] scenario=15, simplex_idx=8, verts=(1, 3, 4, 8), time=3.0245s, status=time_limit, dual_bound=1.0720635638371387, primal_obj=1.072063563837139
[Iter 0] scenario=16, simplex_idx=8, verts=(1, 3, 4, 8), time=3.0484s, status=time_limit, dual_bound=0.9546183491461647, primal_obj=0.9546183491461647
[Iter 0] scenario=17, simplex_idx=8, verts=(1, 3, 4, 8), time=3.0377s, status=time_limit, dual_bound=0.953681814098912, primal_obj=0.9536818140989118
[Iter 0] scenario=19, simplex_idx=8, verts=(1, 3, 4, 8), time=3.0085s, status=time_limit, dual_bound=0.9481706446712953, primal_obj=0.9481706446712954
[Iter 20] scenario=6, simplex_idx=46, verts=(1, 4, 23, 28), time=3.0567s, status=time_limit, dual_bound=1.0108382274479195, primal_obj=1.01083822744792
[Iter 21] scenario=11, simplex_idx=47, verts=(1, 4, 23, 29), time=3.5203s, status=time_limit, dual_bound=1.034646174394456, primal_obj=1.0346461743944562
[Iter 21] scenario=12, simplex_idx=47, verts=(1, 4, 23, 29), time=3.1207s, status=time_limit, dual_bound=0.9517321597994748, primal_obj=0.9517321597994748
[Iter 21] scenario=15, simplex_idx=47, verts=(1, 4, 23, 29), time=3.3660s, status=time_limit, dual_bound=1.0710871800216848, primal_obj=1.0710871800216857
[Iter 21] scenario=16, simplex_idx=47, verts=(1, 4, 23, 29), time=3.6162s, status=time_limit, dual_bound=0.9545208666086805, primal_obj=0.9545208666086805
[Iter 21] scenario=1, simplex_idx=48, verts=(4, 23, 28, 29), time=3.7346s, status=time_limit, dual_bound=0.9451272232351404, primal_obj=0.9451272232351402
[Iter 22] scenario=15, simplex_idx=49, verts=(1, 4, 8, 30), time=3.2259s, status=time_limit, dual_bound=1.0710873744131266, primal_obj=1.0710873744131273
