# debug_cs_timing.txt — NON-OPTIMAL c_s (Q-value) solves only
# Format: [Iter N] scenario=..., simplex_idx=..., verts=..., time=...s, status=..., dual_bound=..., primal_obj=...

[Iter 1] scenario=6, simplex_idx=7, verts=(4, 6, 7, 9), time=3.0119s, status=time_limit, dual_bound=1.0130577697862273, primal_obj=1.0130577697862273
[Iter 1] scenario=8, simplex_idx=7, verts=(4, 6, 7, 9), time=3.0335s, status=time_limit, dual_bound=1.016345716464737, primal_obj=1.0163457164647363
[Iter 1] scenario=9, simplex_idx=7, verts=(4, 6, 7, 9), time=3.1594s, status=time_limit, dual_bound=0.9573054696431417, primal_obj=0.9573054696431416
[Iter 1] scenario=10, simplex_idx=7, verts=(4, 6, 7, 9), time=3.0349s, status=time_limit, dual_bound=0.9652346845447892, primal_obj=0.9652346845447892
[Iter 1] scenario=11, simplex_idx=7, verts=(4, 6, 7, 9), time=3.0303s, status=time_limit, dual_bound=1.037658233427943, primal_obj=1.0376582334279434
[Iter 1] scenario=12, simplex_idx=7, verts=(4, 6, 7, 9), time=3.1220s, status=time_limit, dual_bound=0.9518890135479148, primal_obj=0.951889013547915
[Iter 1] scenario=13, simplex_idx=7, verts=(4, 6, 7, 9), time=3.0310s, status=time_limit, dual_bound=0.9745322580707944, primal_obj=0.9745322580707945
[Iter 1] scenario=16, simplex_idx=7, verts=(4, 6, 7, 9), time=3.0113s, status=time_limit, dual_bound=0.9548141795979791, primal_obj=0.9548141795979793
[Iter 1] scenario=17, simplex_idx=7, verts=(4, 6, 7, 9), time=3.0193s, status=time_limit, dual_bound=0.9540373015026843, primal_obj=0.9540373015026843
[Iter 1] scenario=19, simplex_idx=7, verts=(4, 6, 7, 9), time=3.0094s, status=time_limit, dual_bound=0.9484350095000196, primal_obj=0.9484350095000195
[Iter 1] scenario=0, simplex_idx=8, verts=(4, 7, 8, 9), time=3.4404s, status=time_limit, dual_bound=0.9973936460530721, primal_obj=0.997393646053072
[Iter 1] scenario=1, simplex_idx=8, verts=(4, 7, 8, 9), time=3.0108s, status=time_limit, dual_bound=0.9452027690960245, primal_obj=0.9452027690960244
